"Ecpay Invoice Infomation","綠界發票資訊"
"Invoice Infomation","發票資訊"
"Invoice Number：","發票號碼："
"Invoice Issuance Time：","開立時間："
"Random Number：","隨機碼："
"Invoice Mode：","發票開立："
"Invoice Info Type：","開立方式："
"Transaction Number：","交易單號："
"Issue Invoice","開立發票"
"Invoice Number","發票號碼"
"Invoice Issuance Time","發票開立時間"
"Random Number","隨機號碼"
"Invoice Mode","發票方式"
"Manual Invoice Type","發票資訊類型"
"Transaction Number","交易編號"
"Personal","個人"
"Manual Company","統編"
"Issue","開立"
"Void Invoice","作廢"
"Allowance","折讓"
"Manual Company Name","公司行號"
"Tax ID","統一編號"
"Edit","編輯"
"Confirm","確定"
"Please fill in the correct information","請填入正確資訊"
"Manual Invoice Information","手開發票資訊"
"Create Manual Invoice","建立手開發票"
"Edit Manual Invoice","編輯手開發票"
"Manual Invoice","手開發票資訊"
"Please check the Tax ID Number again and confirm the data is correct","請再次檢查統一編號，確認資料正確"
