"Only point","純點"
"Only money","純金"
"Free ratio","點金自由配:折抵範圍上/下限"
"Fixed point and money","固定點+金"
"Free ratio without limit","點金自由配:無限制"
"Point:Money Product Point is a mandatory field now base on current Point:Money Config Type value.","基於目前的點金設定, 點金點數欄為必填欄位"
"Point:Money Free Ratio Upper/Lower Redeem Limit Value are mandatory fields now base on current Point:Money Config Type value.","基於目前的點金設定, 點數上下限為必填欄位"
"Type must be a valid number.(Current input: %1)","點金設定類型不是合法的數字(當前輸入: %1)"
"Type value is not one of current options.(Current input: %1)","點金設定類型不在目前可選類型之內(當前輸入: %1)"
"Product point must be a valid number.(Current input: %1)","產品點數必須為合法的數字(當前輸入: %1)"
"Product point must be greater than 0.(Current input: %1)","產品點數必須大於0(當前輸入: %1)"
"For Current point-money type: %1, the money value of product point can not exceed product price.(Current price: %2, ratio: %3, product point: %4, money value: %5)","依照當前點金設定: %1, 點數轉換價格不可超過商品價格(當前商品價格: %2, 轉換比率: %3, 商品點數: %4, 轉換價格: %5)"
"Upper redeem value should be greater than lower redeem value.","自由點金上限值應大於下限值"
"Percentage value should be between 0 and 100.","百分比應在0到100之間"
