Blocks Access,阻止訪問,module,Branch8_AdvancedPermissions
Allow Access To,允許訪問,module,Branch8_AdvancedPermissions
All Block,所有區塊,module,Branch8_AdvancedPermissions
Selected Block,選定的區塊,module,Branch8_AdvancedPermissions
ID,ID,module,Branch8_AdvancedPermissions
Title,標題,module,Branch8_AdvancedPermissions
Seller Access,特約商訪問,module,Branch8_AdvancedPermissions
All Seller,所有特約商,module,Branch8_AdvancedPermissions
Selected Seller,選定的特約商,module,Branch8_AdvancedPermissions
Name,姓名,module,Branch8_AdvancedPermissions
Email,電子郵件,module,Branch8_AdvancedPermissions
Access Denied,拒絕訪問,module,Branch8_AdvancedPermissions
Access to the product with ID %1 is denied,對 ID 為 %1 的產品的存取被拒絕,module,Branch8_AdvancedPermissions
View Customer,查看顧客,module,Branch8_AdvancedPermissions
Page not found.,查無頁面,module,Branch8_AjaxWishlist
We can't delete the item from Wish List right now because of an error: %1.,由於錯誤，我們現在無法從願望清單中刪除該項目：%1。,module,Branch8_AjaxWishlist
We can't delete the item from the Wish List right now.,我們現在無法從願望清單中刪除該項目。,module,Branch8_AjaxWishlist
Please select indexers.,請選擇索引器。,module,Branch8_BackendReindex
Total of %1 index(es) have reindexed data.,總共 %1 個索引已重新索引資料。,module,Branch8_BackendReindex
Cannot initialize the indexer process.,無法初始化索引器進程。,module,Branch8_BackendReindex
%1 index was rebuilt.,%1 索引已重建。,module,Branch8_BackendReindex
There was a problem with reindexing process.,重新索引過程出現問題。,module,Branch8_BackendReindex
Add to Cart,加入購物車,module,Branch8_BestSeller
In stock,在庫中,module,Branch8_BestSeller
Out of stock,缺貨,module,Branch8_BestSeller
Add to Wish List,加入願望清單,module,Branch8_BestSeller
Add to Compare,添加比較,module,Branch8_BestSeller
View More,看更多,module,Branch8_BestSeller
English Alphabet,英文字母,module,Branch8_Brand
Chinese Alphabet,中文字母,module,Branch8_Brand
Make sure that the root category for current store is anchored,確保當前商店的根類別已錨定,module,Branch8_Brand
"Make sure that ""%1"" attribute can be used in layered navigation","確保""%1""屬性可用於分層導航",module,Branch8_Brand
The price is equal to 0.,價格等於0。,module,Branch8_Catalog
It's below the average commission.,它低於平均抽成。,module,Branch8_Catalog
It's below the contract minimum commission.,它低於合約最低抽成。,module,Branch8_Catalog
"Points %1 only, full discount",僅點數%1，全額折扣,module,Branch8_Catalog
Points %1 discount is not applicable,點數 %1 折扣不適用,module,Branch8_Catalog
"Discount up to %1 , price after discount is %2",折扣達 %1，折扣後價格為 %2,module,Branch8_Catalog
"Maximum deduction %1 , final price %2",最高扣除額 %1，最終價格 %2,module,Branch8_Catalog
A minimum of %1 points is required to purchase this product.,購買此產品至少需要 %1 點。,module,Branch8_Catalog
Fixed commission,固定抽成,module,Branch8_Catalog
Manually input,手動輸入,module,Branch8_Catalog
Not Hidden,不隱藏,module,Branch8_Catalog
Hidden,隱藏,module,Branch8_Catalog
All,全部,module,Branch8_Catalog
Special Dealer Name,特約經銷商名稱,module,Branch8_Catalog
No,不是,module,Branch8_Catalog
Yes,是,module,Branch8_Catalog
Is pin search term,是否為釘選的搜尋詞彙,module,Branch8_Catalog
Main Category,產品分類,module,Branch8_Catalog
Product Visibility,產品可見性,module,Branch8_Catalog
Customer Group Catalog Rules,顧客組目錄規則,module,Branch8_Catalog
Search,搜尋,module,Branch8_Catalog
Search entire store here...,在這裡搜尋整個商店...,module,Branch8_Catalog
Please login as buyer to add product to cart.,請以買家身分登入以將產品加入購物車。,module,Branch8_CatalogCustom
Your session has expired,您的連線已過期,module,Branch8_CatalogCustom
You added %1 to your shopping cart.,您已將 %1 加入您的購物車。,module,Branch8_CatalogCustom
We can't add this item to your shopping cart right now.,我們現在無法將此商品添加到您的購物車。,module,Branch8_CatalogCustom
Shopping Cart,購物車,module,Branch8_CatalogCustom
Product Type Invalid Or Not Allowed,產品類型無效或不允許,module,Branch8_CatalogCustom
"You are not allowed to add virtual products, so please set product weight.",您無法新增虛擬產品，因此請設定產品重量。,module,Branch8_CatalogCustom
You duplicated the product.,您複製了該產品。,module,Branch8_CatalogCustom
The image cannot be removed as it has been assigned to the other image role,該圖片無法移除，因為它已被分配給其他圖片角色,module,Branch8_CatalogCustom
I would like to inform you that recently I have added a new product in the store.,我想通知您，最近我在商店中添加了新產品。,module,Branch8_CatalogCustom
I would like to inform you that recently I have updated a  product in the store.,我想通知您，最近我更新了商店中的產品。,module,Branch8_CatalogCustom
Skipped row %1. No seller has been assigned to this product.
"                        Please update csv with seller id value"""
"                        Please update csv with seller id value"""Branch8_CatalogCustom,跳過行 %1。尚未為該產品分配任何特約商。請使用特約商 ID 值更新 csv
Skipped row %1. Product is already assigned to other seller.,跳過行 %1。產品已分配給其他特約商。,module,Branch8_CatalogCustom
You are not allowed to add more than %1 Product(s),您不得添加超過 %1 個產品,module,Branch8_CatalogCustom
YOUR GROUP PACK IS EXPIRED...,您的群組方案已過期…,module,Branch8_CatalogCustom
Seller Membership : %1,特約商會員：%1,module,Branch8_CatalogCustom
Skipped row %1. %2,跳過行 %1。 %2,module,Branch8_CatalogCustom
Skipped row %1. error in importing product.,跳過行 %1。匯入產品時發生錯誤。,module,Branch8_CatalogCustom
Skipped row %1. Error in importing
"        product selected attribute set does not exist."""
"        product selected attribute set does not exist."""Branch8_CatalogCustom,跳過行 %1。匯入產品時出錯，所選屬性集不存在。
Unknown Product Type,未知產品類型,module,Branch8_CatalogCustom
