"%1 (From-To)","%1(起/訖)"
"%1 download failed.","%1 下載失敗。"
"%1 downloaded successfully.","%1 已成功下載。"
"%1 failed.","%1 失敗"
"%1 out of %2 visible","%1 共 %2 可見"
"%1 successfully.","%1 成功"
"2.0 Standard Ticket Redemption Report (Download)","2.0 一般票券核銷明細表(下載)"
"2.0 Standard Ticket Redemption Report","2.0 一般票券核銷明細表"
"Actions","操作"
"Additional License","額外授權"
"Adjust Columns","調整欄位"
"Advanced filter","進階篩選器"
"An error occurred while processing your request.","在處理您的請求時發生了錯誤。"
"Application Date (From-To)","申請時間(起/訖)"
"Application Date","申請時間"
"Approval & Authorization Center","審核授權專區"
"Approval Functionality","審核功能"
"Approval Result","審核結果"
"Are you sure you want to %1 this record?","您確定要%1此申請記錄嗎？"
"Are you sure you want to download the selected vendor statements?","您確定要下載所選項目的廠商對帳單嗎？"
"Are you sure you want to send the selected statements?","您確定要發送所選項目的對帳單嗎？"
"Area","專區"
"Audit Trail","系統歷程"
"Authorized Dealer Code","特約商代碼"
"Authorized Dealer Name","特約商名稱"
"Back","返回"
"Ball Pit Creation Date (From-To)","球池建立日(起/訖)"
"Ball Pit Creation Date","球池建立日"
"Ball Pit Ticket Redemption Report (Download)","球池票券核銷明細表(下載)"
"Ball Pit Ticket Redemption Report","球池票券核銷明細表"
"Batch Approve","批次審核(同意)"
"Batch Reject","批次審核(拒絕)"
"Batch Review","批次審核"
"Batch Unlock","解除批次"
"Before authorizing an exception, you must revert the settled batch status.","進行例外授權前，需解除已結賬批次狀態"
"Bill","帳單"
"Cancel","取消"
"Checkout Area","結帳專區"
"Checkout Batch","結帳批次"
"Checkout Date","結帳日期"
"Checkout Modification Date","結帳異動日"
"Cannot unbind across multiple batches","不允許跨批次解除"
"Columns","欄位"
"Commission %","抽成%"
"Confirm Delete","確認刪除"
"Confirm","確認"
"Create Monthly Checkout Batch","建立月結帳批次"
"Curator name","館長姓名"
"Date range already exists. Please confirm.","日期區間已建立，請確認。"
"Download %1","下載%1"
"Download Monthly Summary","下載月結總表"
"Download Report","下載報表"
"Download Search Data","下載搜尋資料"
"Download Vendor Statement","下載廠商對帳"
"Download","下載"
"Duplicate invoice numbers found: %1","發現重複的發票號碼：%1"
"Enter %1","請輸入%1"
"Enter the reason for exception handling","請輸入例外處理原因"
"Error","錯誤"
"Exception Authorization","例外授權"
"Exception authorization can only select one record at a time.","例外授權一次僅能選取一筆資料。"
"Exception authorization is only available for bills with '建立' status.","帳單狀態為“建立”才可進行例外授權。"
"Exception authorization status update failed.","例外授權狀態更新失敗。"
"Exception authorization status updated successfully.","例外授權狀態更新成功。"
"Exclude Checked-out Orders","排除已結帳訂單"
"Exclude unconfirmed gift orders","排除未確認禮物訂單"
"Exclude unconfirmed recipient gifts","收禮人未確認訂單"
"Expired","已過期"
"Export Order Checkout Data","訂單結帳匯出"
"Failed to add invoice.","發票新增失敗。"
"Failed to load exception authorization list.","載入例外授權清單失敗。"
"Failed to read the uploaded file.","檔案讀取失敗，請稍後再試。"
"File Format","檔案格式"
"Filter Criteria","篩選條件"
"Listing Results","列表"
"Filter","篩選器"
"Financial Reconciliation","財務對帳專區"
"Format Error","格式錯誤"
"From:","從："
"Has already been used. Please confirm.","已使用，請確認。"
"ID","編號"
"Information","提示"
"Invalid Authorized Dealer Code","無效的特約商代碼"
"Invalid invoice number format for: %1. Expected format: two uppercase letters followed by 8 digits.","發票號碼格式不正確，針對：%1。預期格式：兩個大寫字母後接 8 個數字。"
"Invalid status provided. Must be 'approved' or 'rejected'."提供的狀態無效。必須為「核准」或「拒絕」。"
"Invoice Status","帳單狀態"
"Invoice added successfully.","發票新增成功。"
"Invoice deleted successfully.","發票刪除成功。"
"Invoice format: 2-16 alphanumeric characters","發票格式：2-16 個英數字元"
"Invoice number cannot be empty","發票號碼不能為空"
"Issued","已發行"
"Loading Error","載入失敗"
"Loading columns...","載入欄位中..."
"Menu Actions","選單操作"
"Message","訊息"
"Monthly Summary","月結總表"
"More Actions","其他操作"
"Next","下一頁"
"No data available for checkout reversal.","沒有可解除結帳的資料。"
"No exception authorization list found.","未找到例外授權列表。"
"No export files were generated.","無對帳單資料可供下載。"
"No records found. Please refine your search.","我們找不到任何紀錄，請再確認。"
"No","否"
"Order Checkout Number Modification Date (From-To)","訂單結帳序號異動日(起/訖)"
"Order Checkout Number Modification Date (From)","訂單結帳序號異動日(起)"
"Order Checkout Number Modification Date (To)","訂單結帳序號異動日(訖)"
"Order Checkout Number Modification Date","訂單結帳序號異動日"
"Order Checkout Number","訂單結帳序號"
"Order Creation Date Range (From-To)","訂單成立時間(起/訖)"
"Order Creation Date Range","訂單成立時間"
"Order Creation Date","訂單建立時間"
"Order Invoice Record Creation Date","訂單發票記錄建立時間"
"Order with Increment ID \"%1\" not found in row %2.","找不到關於表單第 %2 行 ID \"%1\" 的紀錄。"
"Other countries invoice format: %1-%2 digits","其他國家發票格式：%1-%2 個數字"
"Paid","已付款"
"Pending","待處理"
"Please confirm checkout items and enter the information below","請確認結帳項目並輸入下方資訊"
"Please enter %1","請輸入%1"
"Please note: You must complete the checkout process before downloading the current month's summary statement.","請注意-需要先進行結帳才能下載當月總表"
"Please select %1","請選擇%1"
"Please select a file to upload.","請選擇檔案"
"Please select at least one %1.","請至少選擇一個%1。"
"Please select at least one item to perform the action.","請至少選擇一項執行操作。"
"Please upload the file.","請上傳檔案"
"Price","售價"
"Principal Curator","負責館長"
"Processing","處理中"
"Product Shipping Status","商品物流狀態"
"Reason for Exception Handling","例外處理原因"
"Reason","原因"
"Reconciliation Area","對賬專區"
"Reconciliation Created","對帳單建立"
"Record","記錄"
"Redemption Report","核銷明細表"
"Reject","拒絕"
"Release","解除"
"Report Attribution","報表歸屬"
"Report","報表"
"Reset","重置"
"Resource Source","資源來源"
"Review Result","審查結果"
"Review Status","審核狀態"
"Search Data","搜尋資料"
"Select Options","選擇選項"
"Select","選擇"
"Seller Order Number","廠商訂單編號"
"Send Statement","寄出對帳單"
"Settlement Status","帳單狀態"
"Shop Name","門市名稱"
"Start date cannot be later than end date","開始日期不能晚於結束日期"
"Statement sent successfully.","帳單已成功發送。"
"Status","狀態"
"Sub Order Number","子訂單編號"
"Success","成功"
