"If you have any questions about orders or products, please go to", "如為訂單或商品問題，請到"
"to inquire.","詢問"
"Nick Name","暱稱"
"Please enter a title","請輸入標題"
"Please enter content (word limit: 300 words)","請輸入內容(字數限制300字)"
"Submit","提交"
"-- Please Select Category --","-- 請選擇類別 --"
"Please enter less or equal than %1 symbols.","請輸入小於或等於 %1 個符號。"
"Delete image","刪除影像"
"Content","內容"
"Normal","常溫"
"Normal Temperature","常溫"
"Refrigerated","冷藏"
"Frozen","冷凍"
"normal","常溫"
"refrigerated","冷藏"
"frozen","冷凍"
"virtual","電子票券"
"preorder","預購"
"preorder_normal","預購"
"preorder_frozen","預購"
"preorder_refrigerated","預購"
"preorder_virtual","預購"
"※ Upload restrictions","※ 上傳限制"
"File type: jpg, png","檔案類型：jpg、png"
"File size: 5mb","檔案大小：5mb"
"Upload file","上傳檔案"
"Picture","圖片"
"Problems encountered","遇到的問題"
"Good morning","早安"
"Good night", "晚安"
"visitor", "訪客"
"Log in to view your Hotai Points!", "登入查看您的和泰Points"
"Sign In", "登入"
"Register", "註冊"
"Sign Out", "登出"
"Login / Register", "登入 / 註冊"
"Search entire store here...", "搜尋你有興趣的商品名稱、品牌"
"Member Center", "會員中心"
"My Orders", "我的訂單"
"Order Management", "訂單管理"
"Order Time","訂單時間"
"This ticket cannot be returned","此票券無法申請退貨"
"This product is a pre-order item, expected shipping date %1", "此商品為預購商品，預計出貨日%1"
"This product is a pre-order item, expected shipping date %s", "此商品為預購商品，預計出貨日%s."
"This product is a pre-order item, estimated shipping %s day later ordering.", "此商品為預購商品，預計下單後%s出貨"
"This product is a pre-order item, estimated shipping %s days later ordering.", "此商品為預購商品，預計下單後%s出貨"
"Return or exchange application","退換貨申請"
"Apply Rma","送出申請"
"Cancel Apply Rma","再考慮一下"
"Complete", "已完成"
"Order Number", "訂單編號"
"Order Processing","處理中"
"Logistics method", "物流方式"
"Change Filter", "變更篩選條件"
"Tracking number", "物流編號"
"Delivery failed","配送失敗"
"Operation error","操作錯誤"
"You canceled the order.", "您已取消訂單"
"Something went wrong while canceling the order.", "取消訂單時發生錯誤"
"Suborder Invoice", "發票"
"RMA request failed", "換貨申請失敗"
"This product has a longer lead time (more than 5 days), please be patient", "此商品備貨時間較長(5日以上)，請耐心等待"
"Exchange request has been sent", "換貨申請已送出"
"Return request has been sent", "退貨申請已送出"
"Something went wrong.", "發生錯誤"
"There is some problem in generating RMA.", "產生RMA時發生問題"
"Your exchange request has been sent and we will process it as soon as possible. If you have received the goods, please package them properly and we will arrange for home delivery personnel to pick them up at your door. If you have not received the item yet, please refuse it when it arrives. After retrieving the product, we will confirm the condition of the product and arrange for the exchange product to be shipped. If you have any questions, please feel free to contact the seller.","你的換貨申請已送出，我們將盡快處理。若你已收到商品，請妥善包裝，我們將安排宅配人員上門取件。若你尚未收到商品，請在商品送達時拒收。取回商品後，我們將確認商品狀況並安排換貨商品寄出。若有任何問題，請隨時聯繫賣家。"
"Sincerely, HOTAI Shopping Team","HOTAI購團隊 敬上"
"This email is automatically sent by the system, please do not reply directly.","此電子郵件為系統自動寄送，請勿直接回信。"
"If you need other assistance, you are welcome to log in and go through the","如您需要其他協助，歡迎您登入後透過"
"Customer service form","客服表單"
"after logging in.","與我們聯繫。"
"HOTAI shopping mall","認識HOTAI購商城"
"HOTAI Shopping Privacy Policy","HOTAI購隱私權政策"
"HOTAI shopping journal","HOTAI購專題誌"
"HOTAI purchase disclaimer","HOTAI購免責聲明"
"View now","立即查看"
"If your button cannot be displayed, you can click the link below","如您的按鈕無法顯示，可以點擊下方連結"
"I see", "我知道了"
"Receipt Name", "姓名"
"Go to my tickets", "前往我的票券"
"Not picked up", "未取貨"
"Canceled", "已取消"
"Receipt Phone", "手機號碼"
"Search for ordered products and order numbers", "搜尋訂購過的商品、訂單編號"
"Shipping failed", "運送失敗"
"This item has been canceled", "此商品已取消"
"Order Canceled", "訂單已取消"
"Reason for cancellation", "取消原因"
"Think Again", "再考慮一下"
"Apply Cancel", "提出申請"
"Cancel Order", "取消訂單"
"Order Cancel Request","訂單取消申請"
"Please describe the reason, limited to 20 words (optional)","請描述原因，限20字 (非必填)"
"Things to note", "注意事項"
"Orders can be canceled before 23:59 today.","訂單可於本日23:59前取消。"
"After the application is cancelled, Hotai Points will return the points to the original account 30 minutes later.","申請取消後，和泰Points將於30分後返還點數至原帳號。"
"Payment failed", "付款失敗"
"No order matching "%1" found", "未找到符合"%1"的訂單"
"Repay", "重新付款"
"Pending payment", "待付款"
"Go to the homepage and take a look!", "前往首頁看看吧！"
"Please re-enter the product name or order number", "請重新輸入商品名稱或訂單編號"
"Start Time", "開始時間"
"End Time", "結束時間"
"Order Status All", "全部"
"Order Status Processing", "處理中"
"Order Status Canceled", "已取消"
"Order Status Completed", "已完成"
"Order Filter", "訂單篩選"
"Order Re-filter", "重新篩選"
"Order Status", "訂單狀態"
"Filter Action", "篩選"
"Show more", "詳情"
"Show less", "收合"
"Search Time", "搜尋時間"
"Please describe the reason, limited to 20 words (optional)", "請描述原因，限20字 (非必填)"
"There is no order information in the past five years", "近五年沒有訂單資料"
"Order Filter Confirm", "確定"
"Payment Time", "付款時間"
"Actual Amount Paid", "實付金額"
"Recipient Information","收件人資訊"
"Contact Seller", "聯繫賣家"
"Order Amount", "訂單金額"
"Order Note", "訂單備註"
"Shipping Method","取貨方式"
"Shipping Details","運費明細"
"Checkout Amount","訂單金額"
"Show more content", "顯示更多"
"Show less content", "显示较少"
"Order Total Incl. Point","結帳金額"
"My Tickets", "我的票券"
"My Wish Lists", "追蹤清單"
"My Wish List", "追蹤清單"
"My Cart", "購物車"
"Notif", "通知"
"Recently Viewed", "歷史瀏覽紀錄"
"Recently", "瀏覽紀錄"
"Gold Member", "黃金會員"
"popular keywords", "熱門關鍵字"
"recent keywords", "最近的關鍵字"
"Check", "查看"
"Points", "點數折抵"
"Search", "搜尋"
"Search", "搜尋"
"This is a required field.", "此為必填"
"Invalid characters detected.", "檢測到無效字符"
