"Invalid order","無效訂單"
"Error sending SMS message","發送簡訊時出錯"
"The confirmation code is incorrect.","確認碼不正確。"
"The verification code has expired.","驗證碼已過期。"
"Order confirmation error, please try again.","訂單確認錯誤，請重試。"
"Order confirmation deadline has passed.","訂單確認截止日期已過。"
"Gift Link","贈禮鏈接"
"Gift Claim Expiration Date","禮物領取到期日"
"Gift Address Submitted By","收件填寫人"
"Gift Address Confirmed","訂單確認"
"Recipient confirmed gift order.","收件人確認禮品訂單。"
"The order does not exist.","該訂單不存在。"
"Verification Code Send Limit Reached","驗證碼發送次數已達上限"
"You have reached the limit of %1 verification code requests. Please try again after %2 hours. If you need assistance, please contact customer support.","驗證碼發送次數已達%1次，請稍等%2小時後再試，如需協助請聯絡客服協助處理"
"%1 seconds","%1秒"
"%1 minutes","%1分鐘"
"%1 hours","%1小時"
"Your session has expired.","您的會話已過期。"
"Gift Order Recipient Lookup","贈禮訂單收禮查詢"
"Gift Order Recipient Inquiry","贈禮訂單收禮查詢"
"Gift Order related questions","禮物訂單問題"
"Gift Order","禮物訂單"
"Regular Order","般訂單"
"Order Type","訂單類型"
"Gift Order Number","贈禮訂單號碼"
"Buyer's Phone Number","購買人電話"
"Gift Member","贈禮會員"
"Recipient Name","收禮人名稱"
"Recipient Phone Number","收禮人電話"
"Recipient Address","收禮人地址"
"Product Name","商品名稱"
"Gift Status","收禮狀態"
"Creation Time","創建時間"
"Form Submission Time","填單時間"
"Last Access Time","最後進入時間"
"Remove Gift Box","移除禮物盒"
"Gift Orders","禮物訂單"
"Gift Order Information","禮物訂單資訊"
"Your order is confirmed.",""
"The verification code is wrong, please re-enter!","驗證碼錯誤，請重新輸入！"
"First on board datetime","首次上架時間"
"First Enabled Date","首次上架時間"
"No order found with the provided gift code","未能找到相關的禮物訂單"
"The order has been confirmed.","訂單已確認。"
"Invalid order status","無效訂單狀態"
