"My Question","我的提問"
"The seller has not yet replied to your message","賣家尚未回覆你的留言"
"View All Questions (%1)","查看全部留言 (%1)"
"Send out","送出"
"Leave your question","留下你的問題"
"Question was successfully sent","提問已送出"
"Product Q&A","Product Q&A"
"All","全部"
"Replied","已回覆"
"Unreplied","未回覆"
"Seller's reply","賣家回覆"
"Show On Frontend","前台顯示"
"Please log in before asking a question.","請先登入後再進行提問"
"Please log in as a member before asking questions about products.","為了確保您能收到回覆通知，請先登入會員後再進行商品提問"
"I want to ask a question","我要提問"
"Go to Login/Register","前往登入/註冊"
"The merchant has replied to your message","商家已回覆你的留言"
"The seller's reply message","商品介紹頁有詳細的說明，請務必參考清洗與保商品介紹頁有詳細的說明，請務必參考清洗與保商品介紹頁有詳細的說明，請務必參考清洗與保"
